# GALON_TRUE   GALAT_TRUE    PAR_TRUE     PML_TRUE     PMB_TRUE     VRAD_TRUE     SIG_ALPHA    SIG_DELTA    SIGPAR_EQ    SIG_PMALPHA   SIG_PMDELTA   ALPHA          DELTA           LAMBDA         BETA            Lz_TRUE     E_HMV_TRUE   E_HdZ_TRUE
  1.9653738    -0.9470905    27.146137    803.28705    -629.6008    -337.65128    25.660692    18.685242    29.246466    18.152979     13.390623     0.11850958     0.1417221       0.16488677     0.08312974      2034.5605   -49848.53    -56997.28   
  1.6353579    -1.0351095    14.083864    185.82451    -528.29755   -219.62326    50.227867    36.36061     57.052307    35.541676     26.096653     6.2556925      0.004313689     6.2596755      0.014892831     2164.6292   -45842.93    -60493.195  
  1.4948894    -1.0499203    11.893363    87.47566     -509.1026    -152.6391     59.886253    43.35244     68.02297     42.376034     31.114813     6.2011356      -0.043127257    6.1907773      -0.006985764    2400.016    -44315.668   -60700.918  
  1.6733594    -1.0018471    17.962015    266.5632     -622.8606    -268.8145     39.36706     28.498327    44.715847    27.856474     20.453754     6.259821       0.042869017     6.2788124      0.04862306      2021.1877   -49360.77    -61708.36   
  1.6595715    -1.0171117    14.63262     211.00664    -546.2091    -231.41943    48.572727    35.16243     55.17228     34.370483     25.236698     6.2593946      0.025937403     6.2716765      0.03325986      2241.691    -46357.6     -59791.85   
  1.6943338    -1.0267843    15.545319    252.7362     -568.4829    -238.4957     45.77815     33.139397    51.998005    32.393017     23.784733     6.2798944      0.024373902     0.006677835    0.023671297     2166.5996   -47277.227   -61015.727  
  1.6810566    -1.0390065    15.482362    253.91057    -575.63214   -236.70917    45.991917    33.294147    52.240818    32.54428      23.8958       6.2784495      0.010461292     6.283002       0.011481802     2253.5566   -46872.414   -61405.336  
  1.4903737    -1.0830966    12.059754    74.64699     -524.68884   -154.97919    59.632915    43.169044    67.735214    42.19677      30.983189     6.2172976      -0.07219793     6.194052       -0.04007206     2095.8242   -44452.17    -63099.93   
  1.6965116    -1.0373878    19.41832     304.50708    -696.6695    -274.99615    36.700623    26.56806     41.68712     25.969679     19.068367     0.0018469447   0.015030687     0.0076737143   0.013055649     1847.5835   -50075.984   -64055.203  
  1.6966208    -1.0544375    14.619083    247.52646    -561.3371    -223.09492    49.121277    35.559532    55.795364    34.75864      25.521706     0.008484401    -6.7414046E-4   0.0075161634   -0.0039933817   2257.5928   -45974.594   -61388.266  
  1.4574053    -1.0042461    11.19221     61.83532     -468.4656    -136.59729    64.84361     46.941135    73.653885    45.883904     33.690487     6.159724       -0.015774462    6.163583       0.03451399      2587.5925   -43153.03    -56808.77   
  1.6058489    -1.0122457    18.660225    185.62985    -654.0924    -282.10596    38.488476    27.862309    43.717888    27.23478      19.997272     6.231754       0.017927611     6.2431192      0.036901724     1731.4097   -48933.906   -62260.08   
  1.6778483    -1.0395675    16.487164    259.93433    -602.5478    -246.21426    43.696945    31.63279     49.634033    30.92034      22.703413     6.2771835      0.009296706     6.281377       0.010916904     2088.5598   -48059.12    -62573.72   
  1.5755866    -1.0474075    13.17055     133.96219    -533.5994    -194.74982    55.125618    39.906155    62.615513    39.007366     28.641354     6.2344756      -0.020433392    6.23037        6.1790587E-4    2163.101    -45668.266   -61448.344  
  1.5029037    -1.1019437    13.162718    84.53355     -562.15594   -184.80527    54.958824    40.019146    62.63866     38.87917      28.679386     6.232368       -0.08495526     6.202776       -0.057750836    1909.7355   -45434.254   -65325.22   
  1.6355137    -1.0199795    12.721717    169.93202    -493.59888   -186.90701    57.26157     41.452396    65.04167     40.518784     29.75112      6.249189       0.017975137     6.259142       0.030013677     2343.7046   -45348.484   -59108.195  
  1.4110445    -1.0028737    11.085715    27.303963    -456.44684   -134.82954    66.15767     47.8924      75.14648     46.81374      34.373222     6.138651       -0.029133594    6.1389413      0.030547122     2368.161    -43134.348   -56925.5    
  2.0482588    -0.9334418    54.21894     1839.5613    -885.4518    -414.78284    13.454832    9.79735      15.334983    9.518266      7.0211897     0.16583216     0.16133833      0.21578534     0.08266823      1746.9857   -51213.2     -54871.777  
  1.6223234    -1.0404649    13.857098    190.17575    -554.40283   -208.4111     52.585102    38.06704     59.729816    37.209675     27.32139      6.2520986      -0.0034082567   6.253307       0.009236684     2403.3628   -46066.47    -61125.01   
  1.6535244    -1.0348263    15.824885    218.27322    -588.9663    -239.56891    45.980743    33.28606     52.228127    32.536373     23.889996     6.263956       0.00853539      6.268937       0.01547988      2020.585    -47861.984   -62306.66   
  1.977422     -0.87758994   33.806602    1006.8407    -590.17523   -375.74603    21.178926    15.5748      24.354597    14.991036     11.1615505    0.11484325     0.21151842      0.18951169     0.14860101      1999.9744   -50515.32    -54577.297  
  1.4775513    -1.0422451    12.018305    65.25715     -492.82394   -165.44081    61.21325     44.31307     69.530266    43.315025     31.804274     6.189659       -0.041435443    6.1809196      -8.8882464E-4   2175.8608   -44536.613   -60533.586  
  1.6679435    -1.013213     18.160135    269.37302    -647.5369    -269.15576    40.17596     29.083902    45.63465     28.42886      20.874031     6.26181        0.031310674     6.2760324      0.037228726     2033.3105   -49363.25    -62343.86   
  1.6629755    -1.0752268    13.876352    210.67984    -549.05615   -201.56418    52.95228     38.332844    60.14688     37.469494     27.512161     0.0018472791   -0.026246056    6.274438       -0.02481462     2166.651    -45946.48    -62922.0    
  1.617023     -1.0663555    13.113408    167.85161    -528.67236   -187.75099    56.209362    40.69069     63.8465      39.77423      29.204428     6.261323       -0.027741825    6.2520933      -0.01675791     2206.6433   -45444.992   -62176.812  
  1.5944687    -1.0245259    13.908811    154.03667    -523.8202    -221.39276    52.96798     38.34421     60.16472     37.480602     27.52032      6.232127       0.0042776633    6.238034       0.024227872     2180.6096   -45617.836   -59884.117  
  1.5615692    -1.005771     11.812814    122.44065    -469.3573    -161.92099    62.77171     45.441257    71.300476    44.41781      32.614        6.2079153      0.0124424575    6.2190475      0.041337267     2534.3145   -44304.668   -57578.824  
  1.6057242    -1.0954747    13.017036    162.14111    -555.6353    -175.89815    56.809708    41.125286    64.52842     40.199043     29.516348     6.2697997      -0.05610459     6.2485747      -0.046148453    2165.4607   -45453.25    -64192.438  
  1.6126184    -1.0404168    13.716721    174.79326    -542.7018    -212.7305     53.961834    39.063675    61.293606    38.183865     28.036692     6.2476892      -0.005566868    6.2484026      0.009009042     2327.9565   -45408.543   -60525.85   
  1.6416423    -1.078991     13.457685    197.85901    -553.1489    -191.64905    55.069786    39.865738    62.552097    38.96786      28.612347     6.277449       -0.03392128     6.264426       -0.028839856    2294.6204   -45568.816   -62950.55   
  1.5497849    -1.0241861    12.321095    116.62884    -498.34613   -176.70587    60.617485    43.88179     68.85356     42.89346      31.494738     6.21163        -0.006635519    6.2148824      0.022352053     2382.5625   -44886.547   -59358.156  
  1.676262     -1.039163     15.483911    229.55965    -572.0729    -237.14264    48.033325    34.77195     54.55959     33.988796     24.956444     6.2762847      0.009343994     6.280571       0.011317776     2027.9166   -47140.094   -61712.6    
  1.5970452    -1.0591743    13.474468    158.33289    -545.06793   -206.64465    55.823467    40.41134     63.40818     39.50117      29.003933     6.249394       -0.02579073     6.2419267      -0.010225701    2237.0225   -44985.117   -61372.844  
  2.0032253    -0.95241255   35.141827    1118.7089    -758.65967   -368.79285    21.18943     15.42942     24.150398    14.9899025    11.057366     0.14129652     0.13963526      0.18484268     0.07228741      1929.6437   -50520.234   -56753.992  
  1.542522     -1.0528885    13.25228     117.69485    -539.14996   -195.69684    57.26365     41.453903    65.04404     40.520256     29.752201     6.22286        -0.033306643    6.2146006      -0.0065844855   2171.8928   -45688.08    -62020.08   
  1.7188267    -0.97485083   13.792723    245.00606    -479.45377   -217.46597    54.853863    39.942715    62.519035    38.804916     28.624615     6.272444       0.07744062      0.021008788    0.07531049      2514.6172   -46281.22    -57068.473  
  2.209155     -0.8237629    55.52359     2302.3113    -273.48495   -408.55432    13.58029     9.986828     15.616585    9.61251       7.156977      0.2692838      0.272287        0.35300156     0.14532766      1938.6821   -51212.566   -51901.7    
  1.6475108    -1.0526279    13.796863    210.46124    -549.69495   -207.6958     55.30982     40.0395      62.82474     39.13771      28.737059     6.2687416      -0.008875625    6.266403       -0.0023981554   2430.1272   -45525.906   -61178.89   
  1.661263     -1.0470154    15.638865    217.53294    -590.70166   -237.51682    48.707676    35.26012     55.325565    34.465977     25.306814     6.2725983      -9.0835564E-4   6.2731104      0.0033778665    1971.9819   -47364.734   -62488.406  
  1.4982032    -1.0217843    11.973623    80.572975    -488.61148   -167.46086    64.31717     46.56004     73.055916    45.51139      33.416965     6.1874104      -0.018504333    6.1879377      0.021057498     2335.8367   -44520.895   -59108.684  
  1.4136289    -1.0797609    12.38057     16.837696    -527.70703   -168.16031    62.201134    45.02821     70.652374    44.01406      32.317543     6.185675       -0.09004853     6.1580067      -0.043951415    1840.0668   -45054.01    -63986.066  
  1.629652     -1.0443757    16.01404     202.56432    -617.96436   -241.74786    47.760292    34.5743      54.249462    33.795597     24.814587     6.257141       -0.0052838447   6.257188       0.005510741     2008.0231   -47865.797   -63019.63   
  1.6588904    -1.0296103    15.663923    227.55045    -583.0681    -239.94017    48.9154      35.410496    55.561516    34.61296      25.41474      6.2642736      0.0144244265    6.2715716      0.020756658     2136.9      -47465.453   -61581.77   
  1.4983482    -1.0514412    12.3531475   71.31027     -506.0448    -174.8199     62.53361     45.268898    71.03003     44.24933      32.49029      6.2034054      -0.043483466    6.1927176      -0.008211769    2017.2468   -44955.57    -61442.91   
  1.8560202    -0.99667823   17.986147    449.87222    -572.5384    -264.80078    42.592113    30.832987    48.379086    30.138552     22.129381     0.068239786    0.08043762      0.0945635      0.046702027     2331.164    -48534.305   -59499.367  
  1.6312909    -1.0464803    13.29325     171.71013    -526.8014    -208.01556    58.227097    42.151356    66.13839     41.202        30.252773     6.2588024      -0.0068150484   6.258104       0.0034451103    2229.9224   -44681.312   -60067.277  
  1.6527854    -1.077757     13.513819    203.07137    -546.6882    -194.35776    57.254387    41.447197    65.033516    40.513702     29.747389     6.2816935      -0.030562442    6.269656       -0.027446358    2253.8452   -45534.477   -62761.42   
  2.1466117    -0.38878062   96.860954    3362.6758    3159.087     -448.51108    7.128052     6.320932     9.594757     5.1057167     4.516247      0.22571371     0.7085378       0.51082397     0.5579299       1860.6509   -51738.08    -49372.875  
